200 0.00
202 0.00
204 0.00
206 0.00
208 0.00
210 0.00
212 0.02
214 0.05
216 0.08
218 0.12
220 0.18
222 0.25
224 0.35
226 0.50
228 0.70
230 0.95
232 1.25
234 1.60
236 2.00
238 2.50
240 3.20
242 4.00
244 5.00
246 6.20
248 7.50
250 9.00
252 10.50
254 12.00
256 13.50
258 15.00
260 16.50
262 18.00
264 19.50
266 21.00
268 22.50
270 23.50
272 24.50
274 25.20
276 25.80
278 26.20
280 26.50
282 26.70
284 26.80
286 26.90
288 27.00
290 27.00
292 27.00
294 27.00
296 27.00
298 27.00
300 26.80
302 26.60
304 26.40
306 26.00
308 25.60
310 25.20
312 24.80
314 24.40
316 24.00
318 23.50
320 23.00
322 22.50
324 22.00
326 21.50
328 21.00
330 20.50
332 20.00
334 19.50
336 19.00
338 18.50
340 18.00
342 17.50
344 17.00
346 16.50
348 16.00
350 15.50
352 15.00
354 14.50
356 14.00
358 13.50
360 13.00
362 12.50
364 12.00
366 11.50
368 11.00
370 10.50
372 10.00
374 9.50
376 9.00
378 8.50
380 8.00
382 7.50
384 7.00
386 6.50
388 6.00
390 5.50
392 5.00
394 4.50
396 4.00
398 3.70
400 3.50
402 3.30
404 3.10
406 2.90
408 2.70
410 2.50
412 2.30
414 2.10
416 1.90
418 1.70
420 1.50
422 1.30
424 1.20
426 1.10
428 1.00
430 0.90
432 0.80
434 0.70
436 0.60
438 0.50
440 0.45
442 0.40
444 0.35
446 0.30
448 0.25
450 0.20
452 0.18
454 0.16
456 0.14
458 0.12
460 0.10
462 0.09
464 0.08
466 0.07
468 0.06
470 0.05
472 0.045
474 0.040
476 0.035
478 0.030
480 0.025
482 0.020
484 0.018
486 0.016
488 0.014
490 0.012
492 0.010
494 0.009
496 0.008
498 0.007
500 0.006
502 0.0055
504 0.0050
506 0.0045
508 0.0040
510 0.0035
512 0.0030
514 0.0027
516 0.0024
518 0.0021
520 0.0018
522 0.0016
524 0.0014
526 0.0012
528 0.0010
530 0.0009
532 0.0008
534 0.0007
536 0.0006
538 0.0005
540 0.00045
542 0.00040
544 0.00035
546 0.00030
548 0.00025
550 0.00020
552 0.00018
554 0.00016
556 0.00014
558 0.00012
560 0.00010
562 0.00009
564 0.00008
566 0.00007
568 0.00006
570 0.00005
572 0.000045
574 0.000040
576 0.000035
578 0.000030
580 0.000025
582 0.000020
584 0.000018
586 0.000016
588 0.000014
590 0.000012
592 0.000010
594 0.000009
596 0.000008
598 0.000007
600 0.000006
602 0.000005
604 0.0000045
606 0.0000040
608 0.0000035
610 0.0000030
612 0.0000025
614 0.0000020
616 0.0000018
618 0.0000016
620 0.0000014
622 0.0000012
624 0.0000010
626 0.0000009
628 0.0000008
630 0.0000007
632 0.0000006
634 0.0000005
636 0.0000004
638 0.0000003
640 0.0000002
642 0.0000001
644 0.0000001
646 0.0000001
648 0.0000001
650 0.0000001
652 0.0000000
654 0.0000000
656 0.0000000
658 0.0000000
660 0.0000000
662 0.0000000
664 0.0000000
666 0.0000000
668 0.0000000
670 0.0000000
672 0.0000000
674 0.0000000
676 0.0000000
678 0.0000000
680 0.0000000
682 0.0000000
684 0.0000000
686 0.0000000
688 0.0000000
690 0.0000000
692 0.0000000
694 0.0000000
696 0.0000000
698 0.0000000
700 0.0000000
702 0.0000000
704 0.0000000
706 0.0000000
708 0.0000000
710 0.0000000
712 0.0000000
714 0.0000000
716 0.0000000
718 0.0000000
720 0.0000000
722 0.0000000
724 0.0000000
726 0.0000000
728 0.0000000
730 0.0000000
732 0.0000000
734 0.0000000
736 0.0000000
738 0.0000000
740 0.0000000
742 0.0000000
744 0.0000000
746 0.0000000
748 0.0000000
750 0.0000000
752 0.0000000
754 0.0000000
756 0.0000000
758 0.0000000
760 0.0000000
762 0.0000000
764 0.0000000
766 0.0000000
768 0.0000000
770 0.0000000
772 0.0000000
774 0.0000000
776 0.0000000
778 0.0000000
780 0.0000000
782 0.0000000
784 0.0000000
786 0.0000000
788 0.0000000
790 0.0000000
792 0.0000000
794 0.0000000
796 0.0000000
798 0.0000000
800 0.0000000
